SUBJ	QTR	N-S-IS	N-C-IS	PREF-IS	COMF-ISC	N-S-SC	N-C-SC	PREF-SC	COMF-CSC	N-S-IN	N-C-IN	PREF-IN	COMF-INC	N-S-A	N-C-A	PREF-A	COMF-AC	N-S-S	N-C-S	PREF-S	COMF-S	N-S-F	N-C-F	PREF-F	COMF-FC	N-S-FI	N-C-FI	PREF-FI	COMF-FIC	N-S-SCIA	N-C-SCIA	PREF-SCIA	COMF-SCIAC	N-S-POP	N-C-POP	PREF-POP	COMF-POPC	N-S-TAP	N-C-TAP	PREF-TAP	COMF-TAPC	N-S-PARA	N-C-PARA	PREF-PARA	COMF-PARAC	Avgblocksuccessrate(p)	Numberofinadvertentvascularpunturew/oinjection(n)	Numberofintravascularinjectionsresultinginseizuresorcardiacarrest(n)	Obstacles:Inadequateproceduralskills	Obstacles:AvailabilityofUSequipment	Obstacles:Timepressure	Obstacles:Lackofsupportfromsurgeons	Obstacles:Lackofsupportfromotherhealthcareproviders	Obstacles:Preferenceforothernervelocalizationtechniques	Obstacles:Patientcompliance	Obstacles:Patientrefusal	Obstacles:Patientpathology	Obstacles:other	EffectiveTeachingMethods:Lectures	EffectiveTeachingMethods:Scanningonmodels	EffectiveTeachingMethods:Phantompractice	EffectiveTeachingMethods:Observation	EffectiveTeachingMethods:Onlinetutorials	EffectiveTeachingMethods:Textbooks	EffectiveTeachingMethods:Teachingbycolleagues	EffectiveTeachingMethods:Mannequinsimulation	EffectiveTeachingMethods:Cadaverlab	UsedLearningMethods:Lectures	UsedLearningMethods:Scanningonmodels	UsedLearningMethods:Phantompractice	UsedLearningMethods:Observation	UsedLearningMethods:Onlinetutorials	UsedLearningMethods:Textbooks	UsedLearningMethods:Teachingbycolleagues	UsedLearningMethods:Mannequinsimulation	UsedLearningMethods:Cadaverlab	Feedback/Comments/Suggestions:
3	0	20	0	3	3	0	0	0	1	0	0	0	1	5	0	3	3	0	0	0	1	10	0	3	3	0	0	0	1	0	0	0	1	10	0	3	1	0	0	0	1	0	0	0	1	100	0	0	1	3	5	5	0	1	0	0	0	0	3	3	3	5	5	3	5	3	3	0	0	0	1	1	1	1	0	0	0
3	1	10	0	3	4	0	0	3	4	0	0	3	4	1	0	3	4	0	0	3	4	9	0	3	4	0	0	3	4	0	0	3	3	12	0	3	5	0	0	3	3	0	0	3	1	99	0	0	1	3	1	4	1	3	3	2	3	Administrations willingness to pay for cost of catheter (d500 case/d300)	5	5	5	5	5	3	5	5	5	0	0	0	1	1	0	1	0	0	0
3	2	15	0	3	5	5	0	3	5	0	0	3	5	3	0	3	5	0	0	3	5	15	0	3	5	0	0	3	4	0	0	3	4	7	0	3	5	0	0	3	1	0	0	3	1	100	1	0	1	1	5	5	1	1	1	1	1	Centers unwillingness to pay for catheter kits	4	5	5	5	5	2	5	5	5	0	0	0	1	1	0	1	0	0	0
3	3	24	0	3	5	5	0	3	5	2	0	3	4	5	0	3	5	0	0	3	4	7	0	3	5	0	0	1	3	0	0	3	5	10	0	3	5	0	0	1	4	0	0	3	2	100	0	0	1	3	3	5	1	1	1	1	1	0	3	4	4	5	5	1	5	5	5	1	0	0	1	1	0	1	1	0	0
3	4	20	0	3	5	0	0	3	4	0	0	3	4	10	0	3	5	0	0	3	3	15	0	3	5	0	0	3	2	15	0	3	4	10	0	3	5	10	0	3	4	0	0	3	2	100	0	0	1	4	5	4	3	1	5	5	5	0	5	5	5	5	5	1	5	4	1	1	1	0	1	1	0	1	0	0	0
4	0	3	0	3	1	2	0	3	1	0	0	0	1	0	0	0	1	0	0	0	1	2	0	3	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	2	0	2	1	5	2	0	1	0	0	0	0	5	2	2	4	5	5	4	3	1	1	0	0	0	1	1	0	0	0	0
4	1	3	0	3	2	2	0	3	1	0	0	1	2	0	0	3	1	0	0	1	2	3	0	3	3	0	0	1	2	0	0	3	1	0	0	3	2	0	0	1	1	0	0	1	1	95	0	0	1	1	2	1	5	1	1	1	2	Hospital has not approved catheters	3	5	5	4	4	3	4	2	2	1	1	0	1	1	1	0	0	0	Has attended 2 additional training at PA VA, and is now comfortable with US-guided technique. Yet, has not secured nursing approval to start placing catheters
4	2	6	0	3	3	2	0	3	4	0	0	3	1	0	0	3	1	0	0	3	1	8	0	1	4	0	0	1	1	0	0	1	1	0	0	3	1	0	0	1	1	0	0	1	2	95	0	0	2	1	3	1	5	1	2	2	3	Nursing training is the main obstacle	4	4	4	5	4	3	4	4	3	1	1	1	0	1	1	1	0	0	Still working on getting nurses trained. In the past three months received approval for pharmacy and purchasing, and am planning to attend additional courses
4	3	5	0	3	4	3	0	1	1	0	0	1	2	0	0	1	1	0	0	1	2	5	0	1	4	3	0	1	5	0	0	3	2	1	0	1	1	0	0	1	1	0	0	1	1	95	0	0	2	1	3	1	3	2	2	2	2	Low patient volume during summer; waiting for patients to start program	5	4	4	5	5	5	4	3	4	1	1	1	0	1	1	1	0	1	Nursing staff received training from ON-Q pump providers. Pharmacy now has delivered pre-filled pumps, yet convincing hospital and medical group that it is worth billing for PNB infusions. A outpatient placing catheter program was finally approved
4	4	5	2	3	3	2	0	1	3	0	0	3	1	0	0	3	1	0	0	1	1	5	0	1	4	3	1	1	4	0	0	3	1	1	0	3	1	0	0	1	1	0	0	1	1	100	0	0	3	1	3	2	2	1	2	2	2	Limited by patient volume and ON-q pump delivery time 	3	5	4	5	4	4	4	3	3	1	1	1	0	1	1	0	1	0	Limited by patient volume and ON-q pump delivery time 
5	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	1	3	2	0	4	0	0	0	0	3	4	4	4	4	3	4	4	4	1	0	0	1	1	1	1	0	0	0
5	1	2	0	1	4	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	4	100	0	0	3	1	3	2	2	2	2	2	2	0	4	4	4	4	5	3	5	4	4	0	0	0	1	1	0	1	0	0	Having a concise pictorial guide for each procedure would be very helpful. Recently trained colleagues suggested to use ultrasound regularly to get comfortable with identifying anatomical structures. Found youtube tutorials helpful  such as this (youtube.com/watch?v=Dg9BK-32yLc)
5	2	1	1	1	3	1	1	1	3	0	0	1	3	0	0	1	3	0	0	1	2	0	0	1	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	3	100	0	0	3	1	3	2	2	2	2	2	3	0	4	4	4	5	4	4	5	5	5	1	0	0	1	1	1	1	0	0	More repetition and review of anatomy is key to more comfort, confidence and success in using regional techniques. Just talked to a friend who is a resident at U. of Utah and currently rotating through outpatient ortho at VA. He is doing 15-20 blocks per day and gave me this outstanding reference: safeultrasound.org
5	3	1	0	1	4	1	0	1	4	1	0	1	4	0	0	1	3	0	0	1	4	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	4	100	0	0	3	2	3	3	1	1	2	2	3	0	4	5	4	5	4	4	5	5	5	1	1	0	1	1	1	1	0	0	0
5	4	1	1	1	4	1	1	1	4	1	1	1	4	0	0	1	4	0	0	1	4	1	1	1	4	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	3	0	0	1	2	100	0	0	3	3	3	2	2	2	2	2	3	0	4	5	4	5	5	4	5	5	5	1	1	0	1	1	1	1	0	0	0
6	0	1	0	3	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	90	0	0	5	1	5	3	0	5	0	0	0	0	3	5	5	5	5	3	5	5	5	1	1	0	1	1	1	1	0	0	0
6	1	4	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	2	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	95	0	0	5	2	5	5	5	5	5	5	5	0	4	4	4	4	4	4	4	4	4	1	1	0	1	1	1	1	0	0	0
6	2	4	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	2	0	3	1	90	0	0	4	2	4	3	3	2	3	3	3	0	2	4	4	3	4	3	4	4	4	0	0	0	1	1	1	1	0	0	0
6	3	4	0	3	1	2	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	1	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	90	5	5	4	2	5	5	5	4	4	4	3	0	3	5	5	3	4	3	5	4	4	1	0	0	1	1	1	1	0	0	0
6	4	4	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	3	1	1	1	3	1	0	0	3	1	0	0	3	1	0	0	3	1	0	0	1	1	0	0	1	1	97	3	0	3	2	4	4	4	4	3	3	4	0	3	4	4	4	5	4	5	5	5	1	0	0	1	1	0	1	0	0	0
7	0	0	0	0	1	3	0	1	2	0	0	0	1	0	0	Vascular landmark and then stimulation	4	0	0	1	1	1	1	1	2	1	0	1	1	0	0	0	1	1	0	1	3	0	0	0	1	1	1	1	1	90	0	0	3	3	5	5	0	4	0	0	0	0	2	3	1	4	4	2	3	2	0	1	0	0	1	1	0	1	0	0	0
7	1	0	0	1	4	1	0	1	4	0	0	1	4	0	0	1	2	0	0	1	4	0	0	1	4	0	0	1	3	0	0	1	1	0	0	1	4	0	0	1	4	0	0	1	2	100	0	0	2	3	4	5	1	1	2	3	3	0	3	5	5	4	3	1	2	4	4	1	0	0	1	1	1	1	0	0	0
7	2	0	0	1	1	1	1	1	3	0	0	1	1	0	0	Vascular landmark and then stimulation	4	0	0	1	3	0	0	1	4	0	0	1	3	0	0	1	3	0	0	1	4	0	0	1	3	0	0	1	1	100	0	0	3	4	5	5	3	3	3	3	3	0	2	3	5	4	2	1	3	3	3	0	0	0	1	1	1	1	0	0	0
7	3	0	0	1	1	2	0	1	2	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	4	2	0	1	3	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	100	0	0	3	3	4	4	2	2	2	3	3	0	2	3	5	4	3	1	2	3	3	0	0	0	1	1	1	1	0	0	0
7	4	0	0	1	1	5	0	1	2	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	3	1	1	1	0	0	1	2	1	0	1	3	0	0	1	1	0	0	1	1	100	0	0	3	4	5	3	3	2	2	3	3	0	3	4	5	4	3	2	2	3	3	1	0	0	1	1	0	1	0	0	0
8	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	3	4	4	3	0	3	0	0	0	0	3	4	3	5	4	3	4	0	0	1	1	1	0	1	1	0	0	0	0
8	1	1	0	1	3	0	0	1	1	0	0	1	2	0	0	1	2	0	0	1	1	0	0	1	3	0	0	1	1	0	0	1	1	0	0	1	3	0	0	1	1	0	0	1	1	100	0	0	3	4	3	3	2	2	2	1	2	0	3	4	5	4	3	3	5	4	3	1	0	1	0	1	1	0	0	0	Didn’t have further teaching or cadaver exposure so, was unsure how to rate cadaver question
8	2	1	0	1	4	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	4	0	0	1	1	0	0	1	2	0	0	1	3	0	0	1	3	0	0	1	1	67	0	0	3	3	4	4	2	2	2	3	2	The single failed block was actually aborted due to time constraints 	3	3	4	3	3	2	3	4	3	1	1	1	0	1	0	0	0	0	The single failed block was actually aborted due to time constraints 
8	3	1	0	1	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	4	0	0	1	1	0	0	1	1	1	0	2	4	0	0	1	1	0	0	1	1	100	0	0	3	3	4	4	2	2	3	2	2	0	3	4	4	3	3	3	5	5	5	1	0	1	0	1	1	0	0	0	0
8	4	1	0	1	3	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	1	0	2	2	0	0	1	2	0	0	1	2	100	0	0	2	4	4	3	3	3	2	2	2	0	3	4	4	4	3	4	4	4	4	0	0	1	0	1	1	0	0	0	0
9	0	0	0	1	1	0	0	1	1	0	0	1	1	1	0	1	1	0	0	1	1	3	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	70	1	0	5	1	2	4	0	3	0	0	0	0	5	5	3	3	3	3	4	5	5	0	0	1	1	0	0	1	0	0	0
9	1	1	0	1	2	1	0	1	2	1	0	1	2	0	0	1	2	0	0	1	2	2	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	0	0	1	2	100	0	0	3	1	1	1	1	1	1	1	1	0	4	4	5	4	3	3	4	5	4	0	0	0	1	1	0	1	0	0	would like more labs (workshops probably) at the VA
9	2	2	0	1	2	2	0	1	2	2	0	1	2	2	0	1	2	0	0	1	2	4	0	1	2	0	0	1	2	0	0	1	2	1	0	1	2	1	0	1	2	1	0	1	2	90	0	0	3	1	2	2	2	2	2	3	1	0	3	3	4	4	3	3	4	4	3	1	1	1	1	1	0	1	0	0	0
9	3	2	0	1	2	1	0	1	2	1	0	1	2	0	0	1	2	0	0	1	2	4	0	1	2	1	0	1	2	0	0	1	2	1	0	1	2	5	0	1	2	0	0	1	2	90	0	0	3	2	3	3	2	3	3	2	2	0	3	3	3	3	3	2	4	4	2	1	1	1	1	1	1	1	0	0	0
9	4	2	0	1	2	1	0	1	2	2	0	1	2	1	0	1	1	0	0	1	2	2	0	1	1	0	0	1	1	0	0	1	1	2	0	1	2	4	0	1	2	0	0	1	1	80	0	0	3	2	3	2	2	3	3	2	2	0	3	3	4	4	3	3	4	3	3	0	0	0	1	1	0	1	0	0	Stated that the demand for saphenous blocks is increasing and that he would like more training for saphaneous and TAP
10	0	0.5	0	2	3	0	0	2	2	0	0	2	2	2.5	0	2	5	0	0	0	4	1.5	0	2	4	0	0	0	1	0	0	2	1	0	0	1	2	0	0	0	1	0	0	0	1	70	3	0	4	5	5	2	0	3	0	0	0	0	3	4	4	3	3	2	4	4	4	1	0	0	1	1	1	1	0	0	0
10	1	0	0	3	2	0	0	3	1	0	0	3	1	1	0	2	3	0	0	1	1	2	0	3	3	0	0	1	1	0	0	1	1	2	0	1	2	0	0	1	1	0	0	1	1	100	0	0	3	3	3	2	4	3	2	2	2	0	3	4	5	4	3	2	4	4	3	1	0	0	1	1	1	0	0	0	0
10	2	1	0	3	2	0	0	2	2	0	0	2	2	2	0	3	3	0	0	1	1	2	0	2	3	0	0	1	1	0	0	2	2	4	0	1	3	0	0	1	1	0	0	3	1	85	0	0	3	4	4	2	3	3	2	2	2	0	3	4	5	3	3	3	5	5	5	1	0	0	1	1	1	0	0	0	still needs US machines
10	3	1	0	3	2	0	0	3	2	0	0	3	1	2	0	2	3	0	0	1	1	0	0	3	3	0	0	1	1	0	0	3	1	3	0	1	2	0	0	1	1	0	0	1	1	95	1	0	3	3	4	2	4	4	2	2	3	0	3	4	5	4	4	3	4	5	3	0	0	0	1	1	1	0	0	0	0
10	4	2	0	1	2	0	0	1	1	0	0	1	1	2	0	2	3	0	0	3	1	4	0	1	3	0	0	3	1	0	0	3	1	2	0	1	2	0	0	1	1	0	0	1	1	90	0	0	2	2	3	2	3	2	3	2	3	0	3	4	4	4	4	2	5	4	4	1	0	1	1	1	1	0	0	0	0
11	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	2	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	5	1	4	1	0	3	0	0	0	0	3	5	5	5	5	5	5	5	5	1	1	0	1	1	1	1	1	1	0
11	1	0	0	3	3	1	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	3	3	0	0	1	3	0	0	3	3	3	0	3	3	0	0	1	1	0	0	1	1	100	0	0	3	1	3	4	1	1	4	4	4	0	3	4	4	4	3	3	4	5	5	1	1	0	1	1	1	1	0	0	0
11	2	4	0	3	5	0	0	3	4	0	0	3	1	0	0	3	1	6	0	1	4	3	0	3	4	0	0	1	3	1	0	2	1	5	0	3	5	0	0	3	1	0	0	3	1	95	0	0	4	4	4	5	2	2	2	4	3	0	4	5	5	4	4	4	5	5	5	1	0	1	1	1	1	1	0	0	0
11	3	5	0	3	4	2	0	3	4	0	0	3	1	0	0	3	3	5	0	1	4	2	0	3	4	2	0	1	4	0	0	3	4	2	0	3	4	0	0	3	1	0	0	3	1	85	0	0	4	2	4	4	2	2	3	4	3	Infection	4	4	5	4	4	4	5	4	5	1	1	1	1	1	1	1	0	0	0
11	4	4	0	1	5	1	0	1	4	0	0	1	1	0	0	1	1	5	0	1	5	2	0	1	3	2	0	1	3	0	0	1	1	5	0	1	5	1	0	1	3	0	0	1	1	80	0	0	4	2	4	4	3	2	3	3	3	0	4	5	5	5	4	4	5	5	5	0	0	1	1	1	1	1	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	1	0	1	0	0	0	0	3	3	1	3	2	3	5	3	3	0	0	0	0	0	1	1	0	0	0
12	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	5	1	3	1	1	1	1	1	1	Lack of supervised hands on patient care	2	2	2	5	2	2	4	2	2	0	0	0	0	0	0	0	0	0	Practice inertia is the greatest barrier. I work more than 60 hr/wk and for years other group members have taken care of the blocks. I have the same problem with TEE. Maybe a week on the Stanford block team would help
12	2	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	5	1	3	1	1	1	1	2	2	Practice inertia, lack of hands on patient experience, procedures in place which don’t require me to place blocks	4	4	4	5	3	3	5	3	3	0	0	0	0	0	0	0	0	0	At this point I have observed my colleagues. I need to move on to having them supervise me on a patient
12	3	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	5	1	4	2	1	1	4	1	1	Practice inertia, lack of hands on patient experience, procedures in place which don’t require me to place blocks	3	3	3	5	3	3	3	3	3	0	0	0	1	0	0	1	0	0	0
12	4	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	1	1	0	0	0	5	1	3	2	2	2	2	3	3	0	3	3	3	4	3	3	5	3	3	0	0	0	0	0	0	0	0	0	0
13	0	3	0	1	1	5	0	1	1	0	0	0	1	0.5	0	1	1	2	0	1	1	7	0	1	1	0	0	0	1	0	0	0	1	6	0	1	1	2	0	1	1	0	0	0	1	90	0	0	1	4	3	1	0	1	0	0	0	0	3	3	4	3	3	3	4	5	5	1	1	1	1	1	1	1	0	1	0
13	1	10	0	1	1	4	0	1	1	0	0	1	1	1	0	1	1	1	0	1	1	10	1	1	3	0	0	1	1	0	0	1	1	12	1	1	2	0	0	1	1	0	0	1	1	95	0	0	1	3	4	2	2	1	2	1	2	0	3	4	3	3	3	2	4	1	1	0	0	0	1	1	1	1	0	0	Still don’t feel 100p comfortable with catheter in humans. Off of work now for hip surgery as well but will return after recovery. Loved workshop
13	2	3	0	1	2	12	0	1	3	0	0	1	1	0	0	1	1	0	0	1	1	20	0	1	4	0	0	1	1	0	0	1	1	16	0	1	3	0	0	1	1	0	0	1	5	100	0	0	2	3	2	1	1	3	2	1	1	no policies yet	3	5	5	4	3	3	4	4	3	0	0	0	1	1	0	1	0	1	0
13	3	3	0	1	2	8	0	1	3	0	0	1	1	1	0	1	2	1	0	1	2	12	0	1	3	0	0	1	1	0	0	1	1	14	1	1	3	0	0	1	1	0	0	1	1	100	0	0	2	3	2	1	4	1	1	1	3	lack of support from dept chair	4	4	4	4	4	3	5	5	3	1	0	0	1	1	0	1	0	1	Would like more mannequin simulation training especially for catheter placement besides emergency MDs. Chairman has not made this a priority
13	4	6	0	1	1	10	0	1	1	0	0	1	1	2	0	1	1	1	0	1	1	12	0	1	1	0	0	1	1	0	0	1	1	12	0	1	1	0	0	1	1	0	0	1	1	95	0	0	3	3	3	1	1	1	3	2	3	lack of support from dept chair	4	4	4	4	3	3	4	5	3	0	0	0	1	1	1	1	0	0	Great course. Best ever Department chair does not support catheter placement. If we ever get a services, would need some brush up training to place catheters. Single shots are fine, do them every possible case.
14	0	1	0	3	3	0	0	3	1	0	0	3	1	5	0	Transarterial	5	0	0	3	1	4	0	3	3	0	0	3	1	0	0	3	1	5	0	3	3	0	0	3	1	0	0	3	1	80	1	1	4	3	5	1	0	1	0	0	0	0	3	3	3	4	3	2	5	3	3	1	0	0	1	1	1	1	0	0	0
14	1	1	0	3	2	0	0	3	2	0	0	3	2	2	0	3	2	2	0	3	2	2	0	3	2	0	0	3	2	0	0	3	2	5	0	3	2	0	0	3	2	0	0	3	2	100	0	0	3	3	5	3	4	1	2	2	3	Need a better ultrasound machine and a designated block area	4	4	5	4	3	3	4	4	0	1	1	0	1	1	1	1	0	0	Workshop helped especially the meat model practice
14	2	1	0	1	2	0	0	1	1	0	0	1	1	4	0	1	2	1	0	1	2	2	0	1	2	0	0	1	1	0	0	1	1	3	0	1	2	0	0	1	1	0	0	1	1	100	0	0	3	1	4	3	3	1	2	2	3	0	4	5	5	3	3	2	4	3	0	1	0	1	1	1	1	1	0	0	0
14	3	0	0	1	4	0	0	1	1	0	0	1	1	1	0	1	5	2	0	1	2	1	0	1	2	0	0	1	1	0	0	1	1	5	0	1	5	0	0	1	1	0	0	1	1	100	0	0	3	4	4	3	4	2	2	2	3	0	4	5	5	4	4	3	5	3	0 (according to survey participant indicated no exposure to cadaver training yet, she stated that she has used cadaver training)	1	0	0	1	1	1	1	0	1	0
14	4	0	0	1	5	0	0	1	5	0	0	1	5	1	0	1	5	2	0	1	5	1	0	1	5	0	0	1	5	0	0	1	5	6	0	1	5	0	0	1	5	0	0	1	5	100	0	0	3	2	4	2	1	2	2	2	3	0	3	4	5	4	3	2	5	3	3	1	0	0	1	1	0	1	0	0	0
