Subj	AssessmentTime	Rater	Total	TotProc	TotErgo	Global	Time	Passes	Visualization	EquipPrep	Target	Stability	NeedleManip	VisualFocus	InjSpread	CathTip	MachinePosition	NoFlex	NoHeadRot	NoShoulderTilt	NoCrossing
10	0	1	17	9	8	2	1	0	1	0	2	1	2	2	0	0	0	2	2	2	2
10	0	2	14	6	8	1	1	0	1	0	1	1	1	1	0	0	0	2	2	2	2
10	1	1	20	14	6	3	2	0	2	1	2	2	2	2	1	0	0	1	2	1	2
10	1	2	14	7	7	2	1	0	1	0	1	1	1	1	1	0	0	1	2	2	2
10	2	1	26	16	10	4	2	0	2	1	2	2	2	2	2	1	2	2	2	2	2
10	2	2	22	12	10	3	2	0	1	0	1	2	1	2	2	1	2	2	2	2	2
11	0	1	12	6	6	1	2	0	0	0	1	1	1	1	0	0	0	2	0	2	2
11	0	2	13	8	5	1	2	2	0	0	1	1	1	1	0	0	0	2	0	1	2
11	1	1	15	9	6	1	1	0	2	0	1	1	2	2	0	0	0	2	0	2	2
11	1	2	14	8	6	1	1	2	1	0	1	1	1	1	0	0	0	2	0	2	2
11	2	1	19	10	9	2	0	0	0	2	2	1	1	2	1	1	2	2	2	1	2
11	2	2	20	11	9	1	0	0	1	1	2	2	1	2	1	1	2	2	2	1	2
12	0	1	9	5	4	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	2
12	0	2	13	9	4	2	1	0	1	0	2	1	2	2	0	0	0	1	0	1	2
12	1	1	11	7	4	1	0	0	1	0	1	2	1	2	0	0	0	1	0	1	2
12	1	2	11	6	5	2	0	0	1	0	1	1	1	1	0	1	0	1	0	2	2
12	2	1	15	11	4	2	1	0	1	0	1	2	1	2	1	2	0	2	0	0	2
12	2	2	18	13	5	3	1	0	1	0	2	2	1	2	2	2	0	2	1	0	2
13	0	1	9	5	4	2	0	0	1	0	1	1	1	1	0	0	0	1	0	1	2
13	0	2	9	4	5	1	1	0	0	0	1	1	0	1	0	0	0	1	0	2	2
13	1	1	19	12	7	3	2	2	1	0	2	1	1	2	0	1	2	1	2	0	2
13	1	2	19	11	8	1	2	1	1	0	2	2	1	1	0	1	2	1	1	2	2
13	2	1	20	13	7	3	1	0	2	1	2	1	2	2	1	1	2	1	2	0	2
13	2	2	17	10	7	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2
14	0	1	14	9	5	2	2	1	1	1	1	1	1	1	0	0	0	2	0	1	2
14	0	2	17	12	5	2	2	2	1	0	2	2	0	2	0	1	0	2	0	1	2
14	1	1	17	10	7	2	2	1	1	0	1	1	1	2	1	0	0	2	2	1	2
14	1	2	15	11	4	2	2	1	1	0	1	1	1	2	0	2	0	1	0	1	2
14	2	1	19	11	8	3	1	0	1	1	2	1	1	2	1	1	1	2	2	1	2
14	2	2	20	10	10	2	1	0	1	0	2	1	1	2	1	1	2	2	2	2	2
15	0	1	9	5	4	1	1	0	1	0	0	1	1	1	0	0	0	0	0	2	2
15	0	2	14	11	3	2	1	2	0	0	1	2	1	2	1	1	0	0	0	1	2
15	1	1	11	7	4	1	2	1	0	0	1	1	1	1	0	0	0	0	0	2	2
15	1	2	14	10	4	2	2	2	0	0	2	1	1	2	0	0	0	0	0	2	2
15	2	1	28	20	8	5	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2
15	2	2	26	17	9	3	2	2	1	1	2	2	1	2	2	2	2	2	2	1	2
16	0	1	11	6	5	1	2	0	0	0	0	1	1	2	0	0	0	2	0	1	2
16	0	2	17	11	6	1	2	2	0	0	1	2	2	2	0	0	0	2	0	2	2
16	1	1	14	10	4	2	2	2	1	0	1	1	1	2	0	0	0	2	0	0	2
16	1	2	15	9	6	2	2	1	1	0	1	2	1	1	0	0	0	2	0	2	2
16	2	1	27	17	10	4	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2
16	2	2	26	16	10	4	2	2	1	0	2	2	2	2	2	1	2	2	2	2	2
17	0	1	10	6	4	1	2	0	1	0	0	1	1	1	0	0	0	2	0	0	2
17	0	2	10	5	5	2	1	0	0	0	1	1	1	1	0	0	0	1	0	2	2
17	1	1	13	10	3	2	2	0	1	1	1	1	2	1	1	0	0	1	0	0	2
17	1	2	12	8	4	2	2	0	0	0	2	1	1	1	1	0	0	1	0	1	2
17	2	1	16	12	4	3	2	0	1	1	1	1	2	2	1	1	0	2	0	0	2
17	2	2	15	11	4	2	2	1	1	0	1	1	1	1	1	2	0	1	0	1	2
18	0	1	14	10	4	3	1	0	1	0	2	1	1	1	1	2	0	2	0	1	1
18	0	2	14	10	4	2	1	2	1	0	1	1	1	2	1	0	0	1	0	1	2
18	1	1	15	10	5	3	1	1	1	0	2	1	1	1	1	1	0	2	0	1	2
18	1	2	20	14	6	2	1	2	1	0	2	1	2	2	2	1	0	2	0	2	2
18	2	1	26	17	9	4	2	1	2	1	2	1	2	2	2	2	2	2	2	1	2
18	2	2	29	19	10	3	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2
19	0	1	8	4	4	1	0	0	1	0	0	1	1	1	0	0	0	2	0	1	1
19	0	2	9	3	6	1	0	0	1	0	0	1	0	1	0	0	0	2	0	2	2
19	1	1	8	4	4	1	0	0	1	0	0	1	1	1	0	0	0	1	0	1	2
19	1	2	11	6	5	1	0	1	1	0	0	2	1	1	0	0	0	1	0	2	2
19	2	1	22	14	8	2	1	2	1	1	2	1	2	2	2	0	2	2	2	1	1
19	2	2	21	11	10	2	1	2	1	0	1	2	1	2	1	0	2	2	2	2	2
20	0	1	12	8	4	2	2	1	1	0	1	1	1	1	0	0	0	2	0	0	2
20	0	2	13	9	4	2	2	2	0	0	1	1	1	1	0	1	1	1	0	0	2
20	1	1	16	9	7	2	1	0	1	0	2	1	1	1	1	1	2	1	2	0	2
20	1	2	15	8	7	2	1	0	1	0	1	2	1	1	1	0	2	1	2	0	2
20	2	1	23	14	9	3	2	1	1	1	2	1	2	2	1	1	2	2	2	1	2
20	2	2	19	10	9	2	2	1	1	0	1	1	1	1	1	1	2	2	2	1	2
21	0	1	12	8	4	2	2	1	1	0	1	1	1	1	0	0	0	2	0	1	1
21	0	2	15	11	4	1	2	2	1	0	2	2	1	1	0	0	0	1	0	1	2
21	1	1	13	10	3	2	2	0	1	0	2	1	1	1	1	1	0	1	0	0	2
21	1	2	19	13	6	2	2	1	1	0	2	2	1	2	1	1	0	2	1	1	2
21	2	1	14	11	3	2	2	0	1	0	2	1	1	1	1	2	0	1	0	0	2
21	2	2	17	13	4	3	2	1	1	0	2	2	1	2	1	1	0	1	0	1	2
22	0	1	8	4	4	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	2
22	0	2	11	6	5	2	0	0	1	0	1	1	1	1	0	1	0	1	0	2	2
22	1	1	9	7	2	2	1	0	1	0	1	1	1	1	0	1	0	1	0	0	1
22	1	2	11	5	6	2	0	0	0	0	1	1	1	1	1	0	0	2	0	2	2
22	2	1	18	12	6	3	1	1	1	0	2	1	1	2	1	2	0	2	0	2	2
22	2	2	18	13	5	3	1	0	1	0	2	2	2	2	1	2	0	1	0	2	2
23	0	1	10	9	1	1	2	0	1	0	2	1	1	2	0	0	0	0	0	0	1
23	0	2	11	8	3	2	2	0	1	0	1	2	1	1	0	0	0	0	0	1	2
23	1	1	14	9	5	2	2	0	1	0	1	1	1	2	0	1	0	2	0	1	2
23	1	2	17	13	4	2	2	1	2	1	1	2	2	1	0	1	0	1	0	1	2
23	2	1	24	14	10	4	2	0	1	1	2	1	1	2	2	2	2	2	2	2	2
23	2	2	23	13	10	3	2	0	1	1	2	2	1	1	1	2	2	2	2	2	2
24	0	1	12	7	5	1	2	1	0	0	2	1	0	1	0	0	0	0	1	2	2
24	0	2	14	10	4	2	2	2	0	0	2	2	1	1	0	0	0	0	0	2	2
24	1	1	12	7	5	2	2	0	0	0	2	1	0	1	1	0	0	1	0	2	2
24	1	2	15	11	4	2	2	1	1	0	2	2	1	1	1	0	0	1	0	1	2
24	2	1	18	15	3	3	2	2	1	0	2	1	1	2	2	2	0	1	0	0	2
24	2	2	21	15	6	3	2	2	1	0	1	2	2	2	1	2	0	2	0	2	2
25	0	1	24	16	8	4	2	2	2	0	2	2	1	1	2	2	2	1	2	2	1
25	0	2	25	17	8	4	2	2	1	0	2	2	2	2	2	2	2	1	2	1	2
25	1	1	10	9	1	2	1	0	1	0	2	1	1	1	2	0	0	0	0	0	1
25	1	2	15	13	2	3	1	2	1	0	1	2	1	2	2	1	0	0	0	0	2
25	2	1	25	15	10	4	2	1	1	1	1	2	1	2	2	2	2	2	2	2	2
25	2	2	24	16	8	4	2	2	1	0	1	2	2	2	2	2	2	1	2	1	2
26	0	1	8	4	4	1	0	1	1	0	1	0	0	1	0	0	0	2	0	1	1
26	0	2	10	6	4	1	0	2	0	0	1	1	1	1	0	0	0	1	0	1	2
26	1	1	8	4	4	1	0	0	0	0	0	0	1	1	1	1	0	2	0	0	2
26	1	2	9	5	4	1	0	0	1	0	1	1	1	1	0	0	0	1	0	1	2
26	2	1	18	9	9	1	1	0	1	0	2	1	1	2	1	0	2	1	2	2	2
26	2	2	16	7	9	2	1	1	0	0	1	1	1	1	1	0	2	1	2	2	2
27	0	1	12	8	4	2	1	1	2	0	1	0	1	1	0	1	0	2	0	1	1
27	0	2	13	9	4	2	2	1	1	0	2	1	1	1	0	0	0	2	0	0	2
27	1	1	12	8	4	1	1	0	1	0	2	1	1	2	0	0	0	2	0	0	2
27	1	2	12	9	3	2	1	0	1	0	1	2	1	2	1	0	0	1	0	0	2
27	2	1	18	9	9	2	2	0	1	0	2	1	1	1	0	1	2	2	2	2	1
27	2	2	23	13	10	2	2	0	1	0	2	2	2	2	1	1	2	2	2	2	2
28	0	1	6	4	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	1	1
28	0	2	11	8	3	1	2	1	1	0	1	1	1	1	0	0	0	0	0	1	2
28	1	1	10	8	2	1	1	0	1	0	2	2	1	1	0	0	0	0	0	0	2
28	1	2	12	10	2	2	1	0	1	0	2	2	1	2	0	1	0	0	0	0	2
28	2	1	19	9	10	3	1	0	1	0	1	1	1	1	2	1	2	2	2	2	2
28	2	2	19	10	9	2	1	0	1	0	1	2	1	2	2	0	2	1	2	2	2
29	0	1	6	4	2	1	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1
29	0	2	8	3	5	1	0	0	0	0	1	1	1	0	0	0	0	1	0	2	2
29	1	1	7	5	2	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	2
29	1	2	9	5	4	1	1	0	0	0	1	1	1	1	0	0	0	1	0	1	2
29	2	1	9	6	3	1	0	0	1	0	1	1	1	1	1	0	0	1	0	1	1
29	2	2	11	7	4	1	0	0	1	0	1	1	1	2	1	0	0	1	0	1	2
30	0	1	12	8	4	1	2	0	1	0	2	1	1	1	0	0	0	0	0	2	2
30	0	2	17	11	6	2	2	2	1	0	2	2	1	1	0	0	0	1	1	2	2
30	1	1	15	11	4	2	1	0	1	0	2	2	2	2	1	0	0	0	0	2	2
30	1	2	17	12	5	2	1	1	2	0	2	2	2	1	1	0	0	0	1	2	2
30	2	1	26	16	10	3	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2
30	2	2	24	15	9	2	2	2	2	0	2	2	1	2	1	1	2	1	2	2	2
31	0	1	12	8	4	2	0	0	1	0	1	1	1	2	1	1	0	1	0	1	2
31	0	2	13	6	7	1	0	0	1	0	1	1	1	1	1	0	0	2	1	2	2
31	1	1	14	10	4	2	1	0	1	0	2	1	0	2	1	2	0	1	0	1	2
31	1	2	17	11	6	2	1	2	1	0	1	2	1	1	1	1	0	1	1	2	2
31	2	1	13	8	5	2	1	0	1	0	1	1	0	2	2	0	0	2	0	1	2
31	2	2	13	8	5	1	1	0	1	1	1	1	0	1	1	1	0	1	0	2	2
32	0	1	10	8	2	2	1	0	1	0	1	1	2	1	0	1	0	0	0	0	2
32	0	2	10	7	3	2	1	0	1	0	1	1	1	1	0	1	0	1	0	0	2
32	1	1	14	11	3	2	1	1	1	0	2	1	2	2	1	0	0	0	0	1	2
32	1	2	15	11	4	2	1	2	1	0	1	2	2	1	1	0	0	1	0	1	2
32	2	1	26	16	10	4	2	1	2	0	2	1	2	2	2	2	2	2	2	2	2
32	2	2	26	16	10	3	2	2	2	0	2	2	1	2	2	1	2	2	2	2	2
